addr,word_hex,sample_I,sample_Q
0,0xFFA90057,-87,87
1,0xFFA00048,-96,72
2,0xFF980016,-104,22
3,0xFF98FFDC,-104,-36
4,0xFFA9FFA9,-87,-87
5,0xFFCEFF8A,-50,-118
6,0x0000FF84,0,-124
7,0x0032FF8E,50,-114
8,0x0057FFA9,87,-87
9,0x0068FFD2,104,-46
10,0x00660002,102,2
11,0x005C0032,92,50
12,0x00570057,87,87
13,0x005C0068,92,104
14,0x00660068,102,104
15,0x00680060,104,96
16,0x00570057,87,87
17,0x00320052,50,82
18,0x00000052,0,82
19,0xFFCE0052,-50,82
20,0xFFA90057,-87,87
21,0xFF980060,-104,96
22,0xFF980068,-104,104
23,0xFFA00068,-96,104
24,0xFFA90057,-87,87
25,0xFFAE0032,-82,50
26,0xFFAC0002,-84,2
27,0xFFAAFFD2,-86,-46
28,0xFFA9FFA9,-87,-87
29,0xFFAAFF8E,-86,-114
30,0xFFACFF84,-84,-124
31,0xFFAEFF8A,-82,-118
32,0xFFA9FFA9,-87,-87
33,0xFFA0FFDC,-96,-36
34,0xFF960014,-106,20
35,0xFF940044,-108,68
36,0xFFA90057,-87,87
37,0xFFD80044,-40,68
38,0x00120012,18,18
39,0x0044FFD8,68,-40
40,0x0057FFA9,87,-87
41,0x0044FF94,68,-108
42,0x0012FF96,18,-106
43,0xFFD8FFA0,-40,-96
44,0xFFA9FFA9,-87,-87
45,0xFF94FFAE,-108,-82
46,0xFF98FFAE,-104,-82
47,0xFFA4FFAE,-92,-82
48,0xFFA9FFA9,-87,-87
49,0xFFA4FFA0,-92,-96
50,0xFF98FF96,-104,-106
51,0xFF94FF94,-108,-108
52,0xFFA9FFA9,-87,-87
53,0xFFD8FFD8,-40,-40
54,0x00140014,20,20
55,0x00480048,72,72
56,0x00570057,87,87
57,0x003A003A,58,58
58,0x00000000,0,0
59,0xFFC6FFC6,-58,-58
60,0xFFA9FFA9,-87,-87
61,0xFFB8FFB8,-72,-72
62,0xFFECFFEA,-20,-22
63,0x00280024,40,36
64,0x00570057,87,87
65,0x006C0076,108,118
66,0x006A007C,106,124
67,0x00600072,96,114
68,0x00570057,87,87
69,0x0052002E,82,46
70,0x00540000,84,0
71,0x0056FFD2,86,-46
72,0x0057FFA9,87,-87
73,0x0056FF8E,86,-114
74,0x0054FF84,84,-124
75,0x0052FF8A,82,-118
76,0x0057FFA9,87,-87
77,0x0060FFDC,96,-36
78,0x00680014,104,20
79,0x00680044,104,68
80,0x00570057,87,87
81,0x00320044,50,68
82,0x00020012,2,18
83,0xFFD2FFD8,-46,-40
84,0xFFA9FFA9,-87,-87
85,0xFF8EFF94,-114,-108
86,0xFF84FF98,-124,-104
87,0xFF8AFFA4,-118,-92
88,0xFFA9FFA9,-87,-87
89,0xFFDCFFA4,-36,-92
90,0x0016FF9A,22,-102
91,0x0048FF98,72,-104
92,0x0057FFA9,87,-87
93,0x003AFFCE,58,-50
94,0xFFFEFFFE,-2,-2
95,0xFFC2002E,-62,46
96,0xFFA90057,-87,87
97,0xFFC20072,-62,114
98,0xFFFE007C,-2,124
99,0x003A0076,58,118
100,0x00570057,87,87
101,0x00480024,72,36
102,0x0016FFEC,22,-20
103,0xFFDCFFBC,-36,-68
104,0xFFA9FFA9,-87,-87
105,0xFF8AFFBC,-118,-68
106,0xFF82FFEE,-126,-18
107,0xFF8A0028,-118,40
108,0xFFA90057,-87,87
109,0xFFDC006C,-36,108
110,0x00140068,20,104
111,0x0044005C,68,92
112,0x00570057,87,87
113,0x0044005C,68,92
114,0x00140068,20,104
115,0xFFDC006C,-36,108
116,0xFFA90057,-87,87
117,0xFF8A0028,-118,40
118,0xFF82FFEC,-126,-20
119,0xFF8AFFB8,-118,-72
120,0xFFA9FFA9,-87,-87
121,0xFFDCFFC6,-36,-58
122,0x00140002,20,2
123,0x0044003E,68,62
124,0x00570057,87,87
125,0x0044003E,68,62
